bgr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20920,26588,70000,127000,350000,738000,1550000,2597548,3500869,4729731,6244922,8253416,9897477,10429012,10454822,10199942,10780732,10486824,9486927,9194633,1000,6500,10475083,8973869,8532908,8387160,8134581
bhr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618,1712,2886,4251,5147,7354,9683,27600,40080,58543,92063,133468,205727,299587,388990,443109,649764,767103,907433,1115979,1440782,1401974,1567000,2123903,2210190,2328994,2519055,11360,17616,1693650,2994865,2364477,2092714,1900361
bhs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1922,2020,2600,4100,4948,6200,8072,15911,31524,60555,121759,122228,186007,227771,252987,373999,358050,358812,428377,300000,287000,314842,311175,2401,NA,298790,360200,353540,388707,425507
bih,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,9000,25181,52607,93386,444711,748780,1074790,1407441,1594367,1887820,2450425,3179036,3257239,3110233,3357541,3488319,3491188,3443520,0,0,3171283,3404043,3440085,3461058,3694050
blr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5897,6548,8167,12155,23457,49353,138329,462630,1118000,2239287,4099500,5960000,6960000,8128000,9686200,10332900,10676471,11114440,11401927,11448281,324,1724,10694900,11439866,11415141,11619651,NA
blz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1547,2184,2544,3535,6591,16812,39155,51729,60403,75000,96000,118000,118314,160032,161783,194201,172423,174615,172300,211946,400,832,222407,222928,239441,246311,254919
bmu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,745,1112,1440,1936,6324,7980,10276,12572,12800,13000,13333,30000,40000,49000,52720,60100,69000,79000,85000,88200,91000,94300,59491,38000,3400,5127,NA,63891,64997,NA,NA
bol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,1551,7229,33400,118433,239272,420344,582620,779917,1023333,1278844,1800789,2421402,2876143,3254410,5038600,6464390,7179293,9493207,10425704,10450341,10162829,2659,4056,8353273,10106216,10963224,11445830,NA
bra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667,6700,32000,1285533,2498154,4550000,7368218,15032698,23188171,28745769,34880964,46373266,65605000,86210336,99918621,120980103,150641403,169385584,196929978,248323703,271099799,280728796,257814274,182000,574009,234357507,244067356,218244270,207046813,NA
brb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,796,4614,6283,8013,12000,20309,28467,53111,97193,140000,200138,206190,237119,257596,288662,337061,350061,349296,307708,305456,334792,1560,2967,347917,332208,329565,329326,311734
brn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1772,3025,4103,35881,43524,45000,49129,66000,95000,143004,153647,177365,202454,232900,301400,366138,398857,412882,435104,469740,468814,452054,463384,8304,15623,443161,523453,544732,565949,557398
btn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2255,19138,36000,82078,149439,253429,338938,394316,560890,544337,624536,675747,0,0,484189,698373,730623,703554,729239
bwa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15190,92000,222190,332264,332264,444978,522840,563782,823070,1151761,1485791,1874101,2363411,3081726,3246787,3410507,3475327,0,0,2900263,3288986,3240589,3381228,4004089
caf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1071,1370,1633,4162,4967,11000,12600,40000,60000,100000,110000,340000,570000,863641,979232,1143114,1360300,1155620,1242494,0,0,992444,1248346,1175389,1279261,1530385
can,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,60000,98364,202633,345178,583766,775831,1026611,2589780,3497779,4195000,5346000,6911038,8727000,10649000,11872000,13291000,15020000,17016600,18749100,20277400,22092500,23811900,25825400,27720000,28360000,28789000,29765000,1332982,1865779,26840000,30752000,31693000,33211000,34615000
che,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5475,30768,72735,125047,174557,215061,447167,662713,1044379,1698565,3057509,4638519,5275791,5736303,6189000,6274763,6834233,7436157,8208884,8896706,9322580,9644157,10561075,11048637,11150000,11243210,257703,332165,10082636,11242105,11088598,10788602,10927300
chl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4886,13921,36136,64438,197314,319474,409740,964248,2260687,3401525,5100783,6244310,7268281,9261385,10569572,12450801,13955202,14796593,16450223,19852242,23940973,23661339,23680718,23206353,85186,115691,22315248,23302603,23013147,25178981,25051668
chn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,3227,9805,18319,47544,176943,3629000,6853000,13233000,23863000,43296000,85260000,144820000,206005000,269953000,334824000,393406000,461058000,547306000,641245000,747214000,859003000,1112155000,1229113000,1286093000,1291984200,638000,1568000,986253000,1364934000,1469882500,1649301700,1725695000
